"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 15 10:02:03 GMT 2023","Thu Jun 15 10:02:34 GMT 2023","31115","","Звонок","","CallTests","CheckGreenFrameIsDisplayedOnAnotherUsersCard","Страница звонка: отображается зеленая рамка у карточки собеседника при разговоре",""
"passed","Thu Jun 15 10:01:37 GMT 2023","Thu Jun 15 10:01:50 GMT 2023","12902","","Звонок","","CallTests","CheckTurnOnOffEquipmentInCall","Страница звонка: можно включить/отключить камеру в звонке",""
"passed","Thu Jun 15 10:01:50 GMT 2023","Thu Jun 15 10:02:03 GMT 2023","12972","","Звонок","","CallTests","CheckTurnOnOffEquipmentInCall","Страница звонка: можно включить/отключить микрофон в звонке",""
