"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 18 23:11:35 UZT 2023","Fri Aug 18 23:11:39 UZT 2023","4029","Активность","Контрольная","Редактирование контрольной","TestActivityEditingTests","ErrorWithNegativeValueInMinThreshold","Редактирование контрольной: ошибка валидации при отрицательным значением в поле 'Минимальный порог баллов'",""
"passed","Sat Aug 19 16:46:27 UZT 2023","Sat Aug 19 16:46:37 UZT 2023","10255","","Материал","Конструктор тест-тренажера","TestTrainSettingsValidationTests","AddAuthorInTestTrain","Конструктор теста-тренажера: можно добавить автора",""
"passed","Sat Aug 19 16:43:52 UZT 2023","Sat Aug 19 16:44:00 UZT 2023","8182","","Материал","Конструктор тест-тренажера","TestTrainQuestionAnswersValidationTests","CheckAddOneMoreOptionInComparisonTestQuestionInTestTrain","Конструктор теста-тренажера: можно добавить еще один вариант на сопоставление в вопрос с типом ответа 'Сопоставление'",""
"passed","Fri Aug 18 23:13:31 UZT 2023","Fri Aug 18 23:13:40 UZT 2023","8949","Активность","Контрольная","Результат прохождения теста","TestActivityResultTests","StudentCanViewDetailedResultInfo","Результат прохождения: студент не может просматривать подробную информацию о результатах, если отключена соответственная опция",""
"passed","Sat Aug 19 16:45:05 UZT 2023","Sat Aug 19 16:45:24 UZT 2023","18916","","Материал","Конструктор тест-тренажера","TestTrainQuestionsValidationTests","AddCommentInTestTrainQuestion","Конструктор теста-тренажера: можно добавить комментарий к вопросу",""
"passed","Fri Aug 18 23:15:20 UZT 2023","Fri Aug 18 23:15:29 UZT 2023","8414","Активность","Контрольная","Прохождение теста","TestActivityStatusWithOneAttemptTests","StatusIsPendingReviewForAttemptsNeedsReview","Страница индивидуальной контрольной: статус ожидает проверки, если в попытке есть хотя бы один вопрос, требующий проверки",""
"passed","Sat Aug 19 16:42:50 UZT 2023","Sat Aug 19 16:43:14 UZT 2023","24145","","Материал","Конструктор тест-тренажера","TestTrainCreationTests","TestCreation","Конструктор теста-тренажера: создание теста-тренажера",""
"passed","Fri Aug 18 23:16:35 UZT 2023","Fri Aug 18 23:16:45 UZT 2023","9855","Активность","Контрольная","Прохождение теста","TestActivityStatusWithTwoOrMoreAttemptsTests","StatusExistIfAtLeastOneCompletedAttempt","Страница командной контрольной: статус отображается, если есть хотя бы одна завершенная попытка",""
"passed","Sat Aug 19 16:44:31 UZT 2023","Sat Aug 19 16:44:38 UZT 2023","7522","","Материал","Конструктор тест-тренажера","TestTrainQuestionAnswersValidationTests","CheckRemoveAnswerFromSortingQuestionInTestTrain","Конструктор теста-тренажера: можно удалить опцию из вопроса с типом ответа 'Сортировка'",""
"passed","Fri Aug 18 22:51:46 UZT 2023","Fri Aug 18 22:51:54 UZT 2023","8138","","Материал","Конструктор теста","TestQuestionAnswersValidationTests","CheckAddOneMoreOptionInComparisonTestQuestion","Конструктор теста: можно добавить еще один вариант на сопоставление в вопрос с типом ответа 'Сопоставление'",""
"passed","Fri Aug 18 23:14:21 UZT 2023","Fri Aug 18 23:14:29 UZT 2023","7781","Активность","Контрольная","Результат прохождения теста","TestActivityResultTests","MarkIncorrectAnswerThatWasMarkedAsCorrect","Результат прохождения: можно отметить 'Не верно' ответ вопроса, который был отмечен как 'Верно'",""
"passed","Fri Aug 18 23:15:38 UZT 2023","Fri Aug 18 23:15:45 UZT 2023","7483","Активность","Контрольная","Прохождение теста","TestActivityStatusWithOneAttemptTests","StatusChangesIfMinThresholdChanges","Страница индивидуальной контрольной: статус меняется, если преподаватель меняет минимальный порог баллов",""
"passed","Fri Aug 18 23:14:16 UZT 2023","Fri Aug 18 23:14:21 UZT 2023","5589","Активность","Контрольная","Результат прохождения теста","TestActivityResultTests","CheckMarkCorrectTextOrFileAnswer","Результат прохождения: можно отметить 'Верно' ответ вопроса с типом ответа свободный ответ или файл",""
